bank,quarter,speaker,firm,topic,finbert_sentiment,text
barclays,2025-q1,Guy Stebbings,BNP Paribas Exane,-1,positive,"Hi, good morning, everyone. Thanks for taking the questions and a good set of results today. I
do want to focus on the area, which, as you rightly said, gets quite a lot of attention, which is the
US consumer. And thanks for the extra disclosure. I was just hoping you could help us think
about the book and the strategy as we look forward.
So firstly, on the impairment charge, and I guess for the quarter, £399 million, the actual write-
ofs themselves were flattish and sort of in line with the last four quarters. You've taken the
[Post-model Adjustment], and increased the coverage, so could you talk to the drivers of the
increase in the reserve build that goes above and beyond the PMA this quarter perhaps?"
barclays,2025-q1,Chris Cant,Autonomous,-1,neutral,"Good morning. Thank you for taking my questions. I had two, please. First on [Risk Weighted
Assets], how should we think about RWA developments into Q2, specifically thinking about
market risk here given the volatility? Obviously, Q1 was a somewhat unusual quarter where
[Investment Bank] RWAs were down on a constant FX basis, didn't seem to demonstrate the
usual seasonality. So any color you could give us on how to think about quarter-on-quarter RWA
developments into Q2 for the IB would be helpful, please.
And as I think out to your targets, the 2026 targets that you've given us previously, and the circa
£50 billion of RWA growth you expected by the end of 2026. Obviously, Basel 3 has been
delayed, [US cards Internal Ratings Based] transition, I guess is probably going to be a '27 event. I
know you said it's sort of ambiguous, but that's not necessarily going to hit you. And with the
weaker dollar, I guess that's also going to reduce the sort of RWA growth. How should we be
thinking now about where you expect to land in 2026 for Group RWAs relative to that previous
£50 billion growth expectation?
And I also just wanted to ask one on the US. So thank you again for reconfirming the FX splits for
Group and IB income and costs. I think that's helpful for us in thinking about the weaker dollar.
But in the event that the US administration applied some Section 899 taxes to UK companies,
for instance due to digital service tax proposals, how would we be best thinking about the
possible impact of that for Barclays? Would it simply be a case of taking the country-by-country
disclosures you give us and multiplying that percentage of PBT by the relevant incremental tax
top-up or is there something more nuanced we need to do in terms of subsidiary financials and
that sort of thing? Thank you.
Anna Cross
Thank you, Chris. I think there were at least three questions there, so I will attempt to deal with
them in order. So on the IB RWAs, we remain fairly clear that the business should operate within
the circa £200 billion of RWAs that we've allocated to it. And you can see us doing that very, very
consistently actually since '23. So we were doing it for some time before we even did the
Investor Update. This period is no diferent really. And you can see that nimbleness in RWA
deployment in the first-quarter. So, if you look in the disclosures, you'll see that credit risk RWAs
are down, market risk RWAs are up and counterparty credit risk RWAs are up. So, our intention is
t"
barclays,2025-q1,Amit Goel,Mediobanca,-1,neutral,"Hi, thank you, and thanks for that extra disclosure on USCB. And I just want to check, I mean,
obviously, BUK NII has been guided up and the IB Q1 performance has been strong. And so just
thinking about the 11% ROTE guidance for this year, which has remained the same. So just
curious, is that to reflect perhaps a bit more uncertainty in the environment or is it just a case of
just not changing at this point or a bit more risk-on that USCB part of the business. So number
one, just curious why the 11% hasn't changed as well.
And then secondly, in terms of the hedge benefit beyond 2026, I think you're commenting
obviously that it remains quite a strong tailwind. So just wanted to double-check the kind of roll-
of yield that you're anticipating, say, in '27, we have about 2.5%. Just wanted to check whether
it's in the right kind of ballpark or whether you think actually the roll-of yield is a bit lower or a bit
higher than that. Thank you.
Anna Cross
Okay. Thanks, Amit. I'll take both of those. So we've obviously seen a strong Q1, and that's
coming through, not only in the income line, but all the way through the P&L. So we've got good
operating leverage and we were pleased with that performance. But it's only the first quarter of
the year. So all we've done is we've repeated our circa 11% guidance and are not signaling
anything by repeating that guidance, whether that be in income, costs or impairments. I'm
merely repeating it."
barclays,2025-q1,Chris Hallam,Goldman Sachs,-1,neutral,"Yeah, good morning, everybody. Thanks for taking my questions. Two quick ones. So given the
conservative banking wallet already embedded in your planning assumptions, which I guess you
just referenced. Are there any initiatives, either on the cost side or the investment side, that you
would need to either undertake or delay should 2025 indeed play out as per those wallet
assumptions? That's the first question."
barclays,2025-q1,Perlie Mong,Bank of America,-1,neutral,"Hello. Hi, Anna. So just a couple of questions. One, just quickly touching on the US cards margin.
So obviously, that's been down, but you've talked about some of the drivers and some of the
time lags between deposit pricing and asset pricing. And I know you've mentioned that the
interest rate risk is already hedged. But I guess the market is pricing in faster and more rate cuts
on the US side for the rest of the year, maybe three or four rate cuts. So if that were to happen, I
guess, is it already in your planning assumption? And if that were to happen, would you still
expect the meaningful progression during 2025 as you've just talked about. So I guess that's
number one. Number two, I guess more broadly on the full-year '26, greater than 12% returns
target. So consensus has just got to about 12%, taken a year to get there. And I guess the
operating environment is arguably a little bit more challenging. Certainly, impairment looks like it
is possible that it will go up given economic indicators coming down maybe a little bit. And I
suppose in general, US dollar weakening is probably not super helpful either. So where do you
see a gap between your planning assumption and where consensus is, because you've
reiterated guidance. So presumably you see maybe some positive to where consensus is
currently, notwithstanding maybe a little bit of worsening in credit quality and maybe some FX
impact as well. So just it would be helpful to understand where you think people might be too
pessimistic.
Anna Cross"
barclays,2025-q1,Andy Coombs,Citigroup,-1,positive,"Good morning. So perhaps I just have a couple of follow-ons. Just firstly on the fixed-income
result and very strong relative to peers. So any reason why there might be episodic revenues in
that or any additional seasonality compared to your peers? And if you could help us think about
the breakdown between credit, securitized products, rates and FX? Any colour you can share
would be helpful.
And then second question, just on your mortgage balances in BUK, obviously, you've been
struggling to grow that for a while, but you've actually very good result this quarter up £3 billion
quarter-on-quarter. And how sustainable do you think that is, versus how much is that just a
pull-forward of activity in light of stamp duty changes? Thank you.
Anna Cross
Okay, Andy. I will start, then Venkat may want to add on FICC. I mean, nothing much more than I
would call out from before, just a strong performance across the board reflects our investment
in the business, both in Intermediation and in Financing. I called out Rates and I called out"
barclays,2025-q1,Ed Firth,KBW,-1,negative,"Good morning, everybody. Thanks very much. Yeah, I just have two questions. Number one,
[BUK] fees look very weak. They're down about I think, 9% year-on-year, and they're certainly
annualizing at no more than about £1 billion, I guess, and that's in the UK business. So could you
tell us a little bit about what's going on there and how we should expect that going forward? Is
the [greater than £250 million] run-rate we should be thinking about or is there something that
was in there that means it might pick up as the rest of the year progresses? So I guess that's my
first question."
barclays,2025-q1,Jonathan Pierce,Jeferies,-1,neutral,"Hello, good morning, both. Got a couple of questions. The first is a follow-up on Ed's question on
capital. You came into this year at 13.6% [CET1] ratio, 13.3% adjusting for the buyback. It does
sound increasingly like you want to operate closer to 14% moving forward. Can I just confirm
that is how we should be thinking about it? I'm just wondering whether there's an element of
this relating to the fact that UK RWA growth, your target for end of next year looks increasingly
stretching, and maybe you're thinking about some sort of inorganic bolt-on, which obviously
would consume some capital in a one-of sense there. So that's the first question."
barclays,2025-q1,Jonathan Pierce,Jeferies,-1,neutral,"Thanks a lot.
Anna Cross"
barclays,2025-q1,Robin Down,HSBC,-1,neutral,"Good morning. Thanks for taking the questions. Just a couple of quickies from me. I think you
kind of touched on this a little bit, Anna, in your last answer, but the Barclaycard Consumer UK
revenue line, doesn't really seem to have made a great deal of progress over the last 12 months
despite the kind of the big pickup in card acquisition numbers. Is that just a kind of lead-lag
efect? Does it kind of take 12 months for the revenues to come through or was there some
other kind of trend in there when you might expect to see kind of proper revenue growth in that
line?
And then the second question is more of a clarification. I think Slide 8 talks about a 90%
reinvestment rate on the structural hedge. But I think you mentioned earlier that you expected
the structural hedge to be stable. And is that 90% unstable? Is that just kind of a very broad
definition of stable? Or how should we read that?
Anna Cross
Okay. Thank you, Robin. Let me deal with those. And so on the Barclaycard line, I mean, we
stepped back into the credit card market in 2023. So all you are seeing here really is a production
line of those card acquisitions then maturing into interest-earning lending. Actually, if you think
about the structure of the market, it tends to be slightly longer-dated than 12 months. So you're
going to see some pickup in interest earning lending towards the back-end of 2025, but the bulk
of this is actually going to be in 2026. So it is a lead lag efect as you suggest.
And then on the second question, we've given you a planning assumption of circa 90%, but you
can see, given where deposits have been in the first quarter that the notional has been stable,
and we would expect it to be broadly stable. But just for your planning maths and that's why
we've said circa 90%. Nothing more to read into it than that.
Okay. So I think that brings us to the end of questions for today. I'd like to thank you for those
questions. Thank you for your continued interest in Barclays, in what I know is a very busy day,
and we will see you either on the road or at the Analyst Breakfast in a couple of weeks.
C.S. Venkatakrishnan"
barclays,2025-q2,Alvaro Serrano,Morgan Stanley,-1,neutral,"Hi, good morning. A couple of questions, please. First of all, on capital and then one on the
Investment Bank.
On capital, you are at 13.7% after the buyback. That’s a pretty comfortable position given [your
13-14% range]. [Fundamental Review of the Trading Book (FRTB)] has been delayed, when you
think about your capital position versus the over £10 billion distribution, and obviously M&A
options that have appeared in the press, how do you see upside to distribution versus additional
firepower for M&A? Whether that's a portfolio in the US or something else, if you can maybe
walk us through your thinking.
And second, on the Investment Bank, obviously Trading, you have explained Anna, very strong."
barclays,2025-q2,Guy Stebbings,BNP Paribas Exane,0,neutral,"Hi, morning there. Two questions, if I may. The first one was on Barclays UK, I was wondering if
you could expand on this historic swap maturity impact that landed in H1, that comes out in H2
and should support expansion in the product margin in the second half. I don't know if you can
frame the size of that, perhaps.
Then attached to that, looking at your full-year guide and talk to quarter-on-quarter growth, it
looks like we're getting to an exit quarterly run rate of about £8 billion or so on the NII for
Barclays UK. Consensus is at £8.3 billion for next year, it doesn't feel overly challenging versus
that exit rate. So can we infer that you're comfortable with market expectations next year,
perhaps even some upside, despite the miss in the second quarter?"
barclays,2025-q2,Jason Napier,UBS,-1,neutral,"Good morning, Venkat and Anna, thanks for taking my questions. Two, please. The first, just
focusing on the return targets for 2026. I guess at the halfway point for the strategic plan, the
bank's doing better than expected. As Venkat, you mentioned, you've beaten in [Global Markets]
six quarters in a row and consensus is pretty close to your £30 billion revenue target for next
year. But the market is well over £1 billion below your expectations for the Investment Bank.
So I wanted to invite you to sort of give us your thinking on that £30 billion guide. Is it still that
number because you're not in the habit of refreshing it every quarter? Is it that the cyclical
tailwinds in the IB that you've enjoyed so far you think are a bit of a headwind from here?
Because if we put in your IB number, if we add that to consensus, you're a 13% RoTE company,
not the sort of more than 12% at which we seem to be a little bit stuck.
Secondly, perhaps just as a follow on, consensus beyond 2026 has got the bank growing
revenues by 3% and costs by 2%. I wonder whether just at a footprint level, do you think that
makes sense? Are the markets in which you're playing growing that little in the next few years?
Thanks very much.
Anna Cross"
barclays,2025-q2,Chris Cant,Autonomous,-1,neutral,"Good morning, thanks for taking the questions. I had a couple on regulation, please.
So firstly, thinking about what's happening in the US. If we get these [Enhanced Supplementary
Leverage Ratio (eSLR)] changes and your US competitors have effectively significantly more
leverage balance sheet capacity handed to them and they seek to deploy that in markets. How
should we think about the effect of that on the IB growth you've seen over the last five, six years,
particularly around Financing? Do you see that as a competitive threat and what can you do
about it if those peers now have more capacity to muscle in?
With regards to [Comprehensive Capital Analysis and Review (CCAR)] and the US Consumer
business, the reasoning you've given for retaining that business in the past is partly because it
helps your CCAR performance. Obviously, CCAR is getting more benign. Do you now feel less
compelled to retain that business? What is the argument for keeping that?
On the UK side of the fence, if I could just invite you to comment on what, if any, outcomes we
might expect from the current UK capital framework review that's happening in the background.
Are you expecting that to be a positive, and Venkat, I know you've expressed some views
contrary to your peers at other banks around the ring-fencing regime. What are your updated
thoughts given the changes we may see there? Thank you.
Anna Cross"
barclays,2025-q2,Chris Hallam,Goldman Sachs,0,neutral,"Good morning everybody. Two questions on RWAs and the Investment Bank. I guess the
dynamics here in Q2 feel similar to what we saw in Q3 last year, so US dollar depreciation
quarter-on-quarter. Last year, you let that feed through to lower headline RWAs. This quarter,
that hasn't been the case. So I guess, what's changed there?
This quarter, without reinvesting the FX tailwind, you would have obviously seen a step down in
RWAs as a percentage of group towards the target. You would have seen the CET1 tailwind, but
then you also, I guess, would have missed out on some commercial opportunities I suppose.
Being there for clients on the Financing side continues to be an to be an important part of the
rankings improvements you flagged so how are you thinking about juggling those priorities
given that they may be at the margin a little bit mutually exclusive? Do you feel comfortable
saying 56% is peak and it trends down from here?
Secondly, just a confirmation I think on RWA productivity, there's a tick down in the second
quarter, obviously Q1 was quite a high number. Anything you want to call out in the quarter,
maybe it's the ICB one-offs quarter-on-quarter, and it feels like that level of RWA productivity is
a level that would support the RoTE target for next year. So I just wanted to check that you agree
with that. Thank you.
Anna Cross
Okay, thanks Chris. Step back for a minute, the RWAs in the IB have been broadly flat for three
and a half years. That is our clear strategic intent and what we keep coming back to quarter after
quarter after quarter. It's a key part of the plan and the capital discipline that we talked about.
What you might see in any particular quarter is either higher or lower levels of client activity as
we pass the quarter end, and it's honestly nothing more than that.
You can see that we are very disciplined in the way that we manage our risk. You can see that in
the VaR and in the loss days. If you look at the distribution of trading income, that's all on page
37. So we deployed more RWAs to support clients, not really in taking materially more risk.
"
barclays,2025-q2,Perlie Mong,Bank of America,-1,neutral,"Hi Anna, hi Venkat, thank you for taking my question. Just a couple of quick ones. So on the UK,
noted that very clearly [you’ve] done £10 billion of organic RWA allocation to the business.
I guess there is a little bit of nervousness about the UK macro from here. Certainly there is some
nervousness around what the autumn budget might have. So in the case that confidence drops
off and maybe activity comes down and you find it more difficult to allocate the remaining RWAs
to the UK business, do you have a plan B? Would you do acquisition to top it up and make sure
you hit £30 billion? And if that's the case, how would you think about that in the context of the
£10 billion distribution? So I guess that's number one."
barclays,2025-q3,Guy Stebbings,BNP Exane,-1,neutral,"Hi, morning Venkat, morning Anna. Thanks for taking the questions. The �rst one was on the US
Consumer [Bank] top line. Clearly very strong up 20% year over year, both non-interest income
and then the NIM moving up to 11.5%. Just helpful to understand if there's anything particularly
lumpy in there.
So, I guess �rstly, just to con�rm that we should be thinking about growth of that 11.5% NIM base,
given the sort of ongoing lending mix actions you've talked to and growth in retail deposit base.
And then within that £215 million of non-interest income in Q3, anything lumpy in there, you
would point to, to temper us away from analysing north of £800 million before thinking about
things like gains on sales or portfolios next year."
barclays,2025-q3,Jason Napier,UBS,-1,neutral,"Good morning. Thank you for taking my questions.
The �rst one, just looking at competitive conditions in US Investment Banking, we've had some
of the peers talk about potentially very signi�cant levels of additional capital that's available for
deployment following some of the deregulation and stress test changes. And Prime appears to
be one of the places that they may be looking to allocate additional capacity. So, given it's a focus
for the bank, could you just talk about whether you think you have additional capital to deploy
given the changes in things like stress tests and what you're seeing on product margins and that
sort of thing?
And then secondly, on the non-bank �nancial intermediary (NBFI) space, thank you for the
additional disclosures. Those are really welcome and it's good to see the impairment charge at a
group level below consensus today.
Venkat, I wonder whether you could talk a little bit about risks in that industry, how mature the
exposures are, whether there are any vintages we should be bothered about. We could observe
that the cases we've seen so far all involve fraud, but we have seen very strong growth in the
industry writ large. And so, I wonder with your risk management hat on, whether you could just
talk about, whether this is an industry that has yet to grind into fully mature loss run rates and how
you think about that sort of thing. Thank you.
C.S. Venkatakrishnan
All right. Thank you Jason for both questions. On the first one on capital regulation or disparity,
potential disparity in capital regulation between Europe, the UK and the US. Look, it is, I think, an
important factor in the industry. We haven't seen ultimately what will be the changes in the US
and how much the UK, which is the important jurisdiction for us as a home regulator, makes itself
consistent or not."
barclays,2025-q3,Chris Cant,Autonomous,5,neutral,"Good morning. Thanks for taking my questions. I just wanted to follow-up on the US Consumer
[Bank] and then another one around sort of risks that investors are worrying about of late.
So, on the US Consumer Bank, we've had this target for a while for the business to get to a greater
than 12% RoTE for next year. I appreciate that quite a few things have changed over the last 18
months to two years since you gave that guidance, in terms of the American Airlines book now
expecting to move of and so on.
Given where we've got to with Q3 in terms of the returns, could you give us a bit more colour as
to what return you expect that segment to be delivering in 2026, obviously greater than 12% is
open-ended. That would be helpful, I think, to sort of realign consensus expectations on that
division a little bit.
And then the other topic I wanted to throw out there beyond private credit was stablecoins.
There's been some nervousness over the summer months from some investors around what
threat stablecoin issuance creates for the banking system. I guess more so on the other side of
the pond, given that's where most of these innovations are being deployed first. So, I just wanted
to invite you to comment, Venkat, in terms of how you think that potentially shapes up for the
business longer term. Thank you.
Anna Cross"
barclays,2025-q3,Jonathan Pierce,Jeferies,0,neutral,"Hello, there. I've got two questions, actually. The first is on what we're going to get for the year
with regard to these 2027-2028 targets. I'm not after the numbers, of course, unless you want to
give them to us. But the sort of detail, I'm assuming it's probably not another hundred slide
presentation like we got last February. But I'm assuming we will get RoTE targets for 2028
distribution amounts and mix, maybe even [CET1 ratio] targets, these sorts of things. So just to
give us an idea of what we should be expecting qualitatively ahead of February would be helpful.
Secondly, maybe I can try and pre-empt one little piece of that, though, which is on the structural
hedge. The weighted average life has moved out now to three and a half years. When we think
about the size of maturities coming through in 2027-2028, should we be thinking therefore, we've
been getting recently to £35 billion a year or will it hold up at £50 billion for a little longer? And
maybe I can invite you to give us the maturity yield in 2028 itself, if that's possible. Thank you.
Anna Cross
Okay. Thank you, Jonathan. I will take both of those. So, we have said that we will give you updated
targets in FY25, so in February. We've also said that Venkat and I will do that together. So, you
should hopefully read from that, that it won't be quite such a long update as it was last time. But
we will be focused on 2026, 2027 and 2028.
So, what should you expect? We were really clear at the time that greater than 12% RoTE was not
an end point. And that was true of every target that we gave you. That remains true, so you should
expect us to come back with details on how we expect to push RoTE higher, not just as a Group,
but specifically in some business areas also. There's a pattern of delivery that you should be
seeing that you should continue to expect, which is higher levels of revenue, but particularly
focused on the stability and predictability of that revenue.
Secondly, that we'll continue to push gross e�ciency savings to create capacity and costs for
investments. And thirdly, that we will continue to be very disciplined in capital. So more on the
10th of February, but that's the trailer, if you like."
barclays,2025-q3,Amit Goel,Mediobanca,0,neutral,"Hi, thank you for taking my questions. So, two follow-up questions, actually. One, just coming
back in terms of the strategy update or new targets for 2028 that we get with full year [results].
I'm just kind of curious how you're going through that process and are you thinking about kind of
things like revising capital allocation to the businesses, things like that? Or is it more about
e�ciency and driving more out of the business with the kind of path already set?
And then secondly, just on the USCB, I think you remarked earlier that for the next couple of
quarters, so Q4, Q1, you'd anticipate a kind of a flattish NIM on what we've just seen, the 11.5%.
I'm just kind of curious, given the factors that you outlined before in terms of improvement, why
that would be flat and why that wouldn't continue to show a bit of growth in the coming periods.
Thank you.
C.S. Venkatakrishnan"
barclays,2025-q3,Chris Hallam,Goldman Sachs,-1,neutral,"Hi, good morning. Thank you for taking my questions. A couple of follow-ups. Venkat, back on
NBFI, sorry, Venkat, you mentioned the importance of initial qualification and continuous
monitoring. And I guess in light of recent events that review that you're running through in that
book and just triple checking everything. How far through that review are you or have you fully
completed that review? Maybe I missed that in your earlier comments. Sorry if I did."
barclays,2025-q3,Andy Coombs,Citigroup,2,neutral,"Good morning. Two questions please. Firstly, if I could just follow-up on the Investment Bank,
obviously you had a very strong first half of the year. Q3 has perhaps slightly lagged the growth
seen at the US peers. Can you explain how much you think that's just a mix efect, is it a mix efect
by business segment, by region, across Equities and across primary. Or are there any gaps that
you're still looking to infill there?
And then the second question, broader question on the UK, you've obviously seen strong
mortgage and corporate loan growth in Q3, but can you perhaps touch upon customer behavior
and activity going into the November budget? Thank you.
C.S. Venkatakrishnan"
barclays,2025-q3,Ed Firth,KBW,5,neutral,"Thanks very much. Good morning, everybody. I just had a question on your 2026 targets, actually,
because if I look across the piece, I mean, you're pretty much nailing every one and some by some
margin, but I guess the one that stands out is the Investment Bank RWAs, which I can see you've
reiterated today at 50%, which is still quite a long way from where we are today."
barclays,2026-q1,Alvaro Serrano,Morgan Stanley,-1,neutral,Good morning. Alvaro Serrano from Morgan Stanley. Thanks for taking my questions.
barclays,2026-q1,Perlie Mong,Bank of America,-1,positive,"Hello, good morning. A couple of more questions on NII, please. So, the product margin side of
things, can I just dig a little bit deeper [on] that? So, I think previously you said that the mortgage
compression from the COVID-era mortgages rolling of would be about £100 million. How far are
we in that? Because presumably, as you said, some of the volumes that might be rolling of in Q2
probably got pulled forward in Q1. And then with swap rates volatility, can you comment on what
you're seeing in terms of front-end margins as well?
And then on the deposit side, I suppose the competition has been maybe a little bit higher, partly
reflecting seasonality as well. So, when you said that you expect product margin to be similar next
quarter, is that more mortgages or is it more deposits? If you could just help us understand that a
little bit better.
And then on the USCB as well, you commented that margins were quite high this quarter, there's
a big improvement. Obviously, there will be some mechanical improvements further from the
American Airlines exit. But how much more sort of underlying improvement can we expect from
pricing and from deposit mix, et cetera?
Anna Cross
Okay, thank you, Perlie. I will take both of those."
barclays,2026-q1,Amit Goel,Mediobanca,1,neutral,"Hi, thank you. So, two questions from me. One was just back on BUK, but just on the cost piece."
barclays,2026-q1,Jonathan Pierce,Jeferies,-1,neutral,"Hello, good morning. So, I was going to ask you about share awards, but I nearly fell of my chair
when you made the comment on 2028 net interest income. So, I'll actually go with that if it's okay.
Just to clarify, 2028, you're talking about consensus being very light at the Group level. Just
checking I caught that properly. And is that comment made in the context of where the yield curve
is today? Or are you saying that consensus was very light, even ahead of the move in the yield
curve? And I don't know whether you can give us a bit of colour as to where you think we're wrong
at a divisional level."
barclays,2026-q1,Guy Stebbings,BNP Paribas,0,neutral,"Hi, good morning. To start, should I come back to the hedge just to follow up on Jonathan's
questions?
It was a meaningful uptick, I guess, in Q1 of £6 billion or so in the notional. Just trying to
understand where that's landing, because it doesn't look like there's a big move in deposits in the
UK. So, is that sort of landing outside of the UK, the IB perhaps? And just to get a re�ection of the
stickiness, I suppose, of those deposits and how you see them going forward rather than, as you
say, taking advantage of the curve in any way.
And also, just to clarify, in terms of pre-hedging, you say you don't do any pre-hedging of the
hedge when you talk about what's locked in from here? That was really the first question.
And then the second one was just around ECLs. Reasonably flat in aggregate on the performing
loan book. I just want to understand the move in the management adjustment, which came down
from £369 [million] to £265 [million] in the quarter. So quite a big move, I think that largely just
relates to the General Motors book, which now filters directly into the models rather than needing
an overlay. So, I'm not sure if that explains the entire move, but any colour there would be helpful.
Thank you.
Anna Cross
Yes, thank you, Guy. I will take both of those.
So, the movement in the hedge notional upwards is going to reflect, as I say, a long-term view of
deposits. So, it's quite di�cult for you to tie quarter-on-quarter movements in deposits to
changes in the hedge, because what we're trying to identify here is rate-insensitive balances, and
obviously we want to observe that for several, several quarters before we make a change.
And so, you're going to see it outside of the UK as well as inside, and obviously over time as the
equity in the firm continues to rise, you're going to see us hedging more of the equity position as
well. So, I wouldn't call anything in particular out."
barclays,2026-q1,Jason Napier,UBS,-1,neutral,"Good morning. Thank you for taking my questions. And I think I can echo, Venkat, what you were
saying about the sort of underlying performance of the business.
If you take out the one-ofs, it looks like PBT's up 15% year on year. But of course, a lot of the
conversations are about one-ofs and those sorts of matters. So, if I could ask two [questions]."
barclays,2026-q1,Chris Hallam,Goldman Sachs,2,neutral,"Yes. Good morning, everybody. So, my first question is just on lending dynamics and Anna, I think
you've just covered some of this, but I want to drill down on one point.
So, in the UK Corporate Bank, how much of the moves you've seen on loans and on deposits as
well, actually, in the first quarter is potentially attributable to macro uncertainty? So, the premise
being that if you were to start to see scarcity and sort of inflation-driven restocking cycles,
companies loading up on inventory at higher prices, that will drive demand for working capital
lending, while also compressing corporate cash balances. Simplistically, that just maps onto the
quarter on quarter evolution in loans and deposits you saw in the UK Corporate Bank. But that
could just be a coincidence.
And then second question on the disclosure on slide 45. Has the uncertainty over the last few
months in the Private Credit space changed at all how you think about the growth outlook in those
areas? I think there's a sort of consensus building that the credit risk for the banks themselves is
pretty low. You called out the absence of losses. But simplistically, Private Credit as an industry
has been growing pretty quickly. So, if you and your internal planning had forecast that stacked
bar chart, let's say for 2028, 6 to 12 months ago, would the composition of that bar chart look very
diferent today, i.e., has the size of the opportunity set in Financing changed in your view? Thank
you.
Anna Cross
Okay, Chris, I'll pick up the first of those and then I'll hand to Venkat. Look, you've seen in Q1, 15%
lending growth [and] 3% deposit growth [year-on-year]. I don't think that's due to anything like
the sort of behaviour changes that you talk about, Chris. I think that's probably a coincidence.
And in fact, it's very consistent with what we've seen in recent quarters. About 50% of the lending
growth that we are seeing is coming from new clients. And as they come on board, they are also
placing their deposits with us, which is why we're seeing that balance.
And remember, we are very deposit heavy within our [UK] Corporate Bank. Our loan to deposit
ratio, I think, is around [35]%, so we would expect to be growing lending faster than deposits. That
is our absolute strategic intent. Venkat, over to you on the second question.
C.S. Venkatakrishnan
Yes. So just on the first point, which is that the growth you see in lending in our [UK] Corporate
Bank is very largely our own actions. This is what we said we"
barclays,2026-q1,Edward Firth,KBW,5,neutral,"Thanks very much. Yes, I had two sort of related questions, and I guess you partly covered it in the
answer to Rob's.
I guess what we're all struggling with is the contrast between people like the Deputy Governor of
the Bank of England saying the markets are ignoring risks, there's an awful lot of volatility going
on, people are not focusing on it. And the message from you, which is there aren't really any
problems.
And so, I'm just trying to get a sense, I suppose the way I'd ask the question is, what has to happen
for there to be a problem? You know, you must sensitise your book. Is it that the Middle East [crisis]
continues for much longer than expected? Is it the oil price of $150 is the big question mark?
Because obviously $100 is not a problem. So, what is an environment which would have you guys
thinking, this is a problem for our book, and we're going to have to start taking some material
numbers? I guess that's the first question."
barclays,2026-q2,Guy Stebbings,BNP Paribas,-1,neutral,"Hi, morning. Thanks for the questions. The �rst one was back on the US Consumer [Bank].
There's obviously a lot going on in the quarter with [American Airlines] and Best Egg.
I think you've previously said that the Q1 [income] �gure of £983m, with maybe a little bit of a
growth, was sort of a reasonable gauge into Q3 and beyond. I just want to check, I think you made
an earlier comment from the call to suggest maybe that wasn't the case. So can I just sort of
check that comment you made earlier in terms of when we get back to that Q1 run-rate. I seem
to remember at Q1 as well, you're talking about a lot of upside to consensus, [USCB] NII, I think
it's moved a bit, but maybe you're able to re�ect at all on where market expectations now sit for
that business would be helpful.
And the second question was on cost investments. I mean, clearly, a very good revenue
performance, helped by the IB, and has given you that extra capacity for investment. Appreciate
you want to leave yourself scope for further investment here, but as we look out to 2028 and the
cost: income [ratio], which you highlighted sort of being the north star, is your conviction
improving as to where you land within a low 50s cost-to-income ratio? Given that incremental
investment that you're making, and just wondering if you can look at where market expectations
[are at 54%, and whether that is ambitious enough]? Thank you.
Anna Cross
Okay, thank you, Guy. So if you recall, and clearly you do, in Q1, I said I felt that Q1 was a good basis
for subsequent quarters. I think given those two rate impacts that I've called out, it feels like it'll
take us a little bit longer to build back to that base, Guy, and that's really what we're saying here,
primarily in terms of those sold securitisation prices. Although, remember, as a bank, we do have
some optionality here. So, we have probably greater optionality than some participants in that
market, in that we can choose to hold some on the balance sheet if we feel that's the right thing
to do.
But, as Venkat said, our conviction about this business, strategically, is completely unchanged by
a quarter's rate expectations. And we still feel that we have the organic momentum in the existing
cards business, in Best Egg and in what we have announced in respect of Samsung.
You might also remember that in Q1, I talked about a pipeline of future partners where we would
bring everything into one place for them. And that's really what we were referring to when we
r"
barclays,2026-q2,Jonathan Pierce,Jeferies,-1,neutral,"Okay thanks very much.
Anna Cross"
barclays,2026-q2,Benjamin Toms,RBC,-1,negative,"Good morning both. Thank you for taking my question. The �rst one's on PBWM. Net New AUM
in PBWM in Q2 was relatively weak. What's impacting performance here? I think I was a little
surprised, my feeling was you've been quite active in trying to make your proposition more
attractive in this space."
barclays,2026-q2,Benjamin Toms,RBC,-1,neutral,"Thank you.
Anna Cross
Okay, thank you, Ben. Perhaps we could go to the next question, please."
barclays,2026-q2,Edward Firth,KBW,-1,neutral,"13
Investor Relations
Yeah, thanks very much. Good morning, everybody. I just had two questions.
The �rst one, in terms of this additional investment in the second half, I think previously you were
committed to BUK costs falling every year for the next three years, I think that's the way you
articulated it. Is that still your commitment? So even with that additional investment, will costs in
BUK still be down each year for the next three years? That was question number one.
And then the second question was a slightly broader question. I get what you're saying about the"
